player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Willie Green,LAC,31.0,190.5,91.171992,164,0,2003,2,41,72,6.3,1.3,0.8,4.4,0.017,0.0819999999999999,0.1689999999999999,0.562,0.07,2012
Aaron Williams,NJN,32.0,205.74,108.86208,12,0,0,8,0,72,6.3,4.1,1.1,-2.7,0.088,0.171,0.175,0.5489999999999999,0.109,2003
Thabo Sefolosha,OKC,30.0,200.66,100.697424,0,51,2006,1,13,61,6.3,3.6,1.5,4.8,0.037,0.113,0.119,0.517,0.0819999999999999,2013
Predrag Drobnjak,LAC,28.0,210.82,123.377024,0,28,1997,2,48,61,6.3,3.2,0.6,-13.3,0.061,0.175,0.217,0.4579999999999999,0.078,2003
Anthony Tolliver,DET,30.0,203.2,108.86208,149,0,0,8,0,76,6.3,3.1,0.8,3.2,0.039,0.152,0.148,0.569,0.061,2014
Devean George,LAL,28.0,203.2,106.59412,116,0,1999,1,23,71,6.3,3.9,1.0,2.7,0.06,0.145,0.153,0.484,0.073,2005
Kwame Brown,GSW,30.0,210.82,122.46984,0,0,2001,1,1,9,6.3,6.3,0.4,-6.1,0.095,0.248,0.1669999999999999,0.519,0.034,2011
Chris Johnson,BOS,24.0,198.12,91.171992,237,0,0,8,0,40,6.3,2.4,0.8,-1.4,0.043,0.102,0.14,0.537,0.059,2013
Kyle O'Quinn,NYK,27.0,208.28,113.398,242,0,2012,2,49,79,6.3,5.6,1.5,-6.8,0.138,0.25,0.186,0.552,0.149,2016
Khalid El-Amin,CHI,22.0,177.8,90.7184,45,0,2000,2,34,50,6.3,1.6,2.9,-10.7,0.023,0.08,0.193,0.4579999999999999,0.288,2000
Shaun Livingston,GSW,30.0,200.66,87.089664,0,0,2004,1,4,78,6.3,2.2,3.0,8.5,0.032,0.089,0.145,0.581,0.222,2015
Mitch McGary,OKC,23.0,208.28,115.66596,18,0,2014,1,21,32,6.3,5.2,0.4,4.0,0.12,0.239,0.186,0.55,0.043,2014
Deni Avdija,WAS,20.0,205.74,95.25432,0,55,2020,1,9,54,6.3,4.9,1.2,-2.1,0.017,0.181,0.118,0.515,0.064,2020
Patrick Patterson,HOU,22.0,205.74,106.59412,43,0,2010,1,14,52,6.3,3.8,0.8,1.3,0.11,0.146,0.163,0.574,0.078,2010
Dante Cunningham,MIN,27.0,203.2,100.243832,104,0,2009,2,33,81,6.3,4.1,1.0,-0.9,0.073,0.149,0.155,0.474,0.08,2013
Rod Strickland,TOR,37.0,190.5,83.91452,74,0,1988,1,19,61,6.3,2.5,4.0,-6.6,0.032,0.119,0.183,0.482,0.326,2003
Charlie Villanueva,DAL,30.0,210.82,105.233344,45,0,2005,1,7,64,6.3,2.3,0.3,-3.3,0.046,0.185,0.261,0.534,0.047,2014
Abdel Nader,OKC,26.0,195.58,102.0582,40,70,2016,2,58,55,6.3,1.8,0.7,-4.2,0.016,0.095,0.1639999999999999,0.591,0.068,2019
Daniel Gibson,CLE,24.0,187.96,90.7184,97,0,2006,2,42,56,6.3,1.3,1.3,8.9,0.016,0.062,0.144,0.613,0.104,2009
Grant Long,MEM,36.0,205.74,113.398,31,0,1988,2,33,66,6.3,3.5,2.1,-10.1,0.019,0.1169999999999999,0.133,0.475,0.1169999999999999,2001
Aron Baynes,DET,29.0,208.28,117.93392,161,47,0,8,0,81,6.3,4.7,0.6,-4.7,0.122,0.223,0.187,0.563,0.07,2015
Chimezie Metu,SAC,24.0,205.74,102.0582,146,0,2018,2,49,36,6.3,3.1,0.8,-7.8,0.064,0.175,0.1939999999999999,0.5710000000000001,0.08,2020
Royce O'Neale,UTA,27.0,193.04,102.511792,91,0,0,8,0,71,6.3,5.5,2.5,5.2,0.0139999999999999,0.165,0.095,0.578,0.1159999999999999,2019
Aaron Holiday,PHX,25.0,182.88,83.91452,3,0,2018,1,23,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223,2021
Damien Wilkins,SEA,25.0,198.12,102.0582,19,0,0,8,0,29,6.3,2.3,0.9,-8.0,0.066,0.095,0.181,0.5,0.091,2004
Dewayne Dedmon,MIA,32.0,213.36,111.13004,146,0,0,8,0,67,6.3,5.8,0.7,3.5,0.1,0.251,0.1639999999999999,0.632,0.069,2021
Kerry Kittles,LAC,31.0,195.58,83.91452,104,0,1996,1,8,11,6.3,2.9,1.8,-4.0,0.005,0.156,0.155,0.446,0.13,2004
Glen Davis,BOS,24.0,205.74,131.088088,46,0,2007,2,35,54,6.3,3.8,0.6,-4.0,0.13,0.144,0.1989999999999999,0.5,0.064,2009
Andrew Bogut,GSW,30.0,213.36,117.93392,42,47,2005,1,1,67,6.3,8.1,2.7,16.6,0.1009999999999999,0.262,0.133,0.565,0.149,2014
Frank Jackson,NOP,22.0,190.5,92.98636,32,0,2017,2,31,59,6.3,1.4,1.0,-3.4,0.025,0.07,0.203,0.51,0.107,2019
Maurice Evans,WAS,32.0,195.58,99.79024,97,0,0,8,0,73,6.3,2.1,0.6,-7.8,0.036,0.08,0.14,0.513,0.046,2010
Luke Babbitt,NOP,25.0,205.74,102.0582,184,0,2010,1,16,27,6.3,3.3,1.1,7.2,0.048,0.186,0.176,0.525,0.089,2013
Brevin Knight,ATL,25.0,177.8,77.11064,59,0,1997,1,16,53,6.3,3.2,5.9,-8.4,0.017,0.109,0.147,0.416,0.32,2000
Cameron Payne,CLE,24.0,190.5,86.18248,148,0,2015,1,14,40,6.3,1.8,2.7,-15.2,0.017,0.083,0.1689999999999999,0.519,0.225,2018
Bryce Drew,CHI,26.0,190.5,83.91452,89,0,1998,1,16,48,6.3,1.4,3.9,-7.4,0.011,0.052,0.143,0.45,0.231,2000
Draymond Green,GSW,24.0,200.66,104.32616,11,0,2012,2,35,82,6.2,5.0,1.9,5.8,0.053,0.1969999999999999,0.149,0.498,0.127,2013
Patrick Beverley,CHI,34.0,187.96,81.64656,128,0,2009,2,42,67,6.2,3.7,2.9,-1.5,0.025,0.111,0.107,0.534,0.1369999999999999,2022
Caleb Martin,CHA,24.0,195.58,92.98636,263,0,0,8,0,18,6.2,2.1,1.3,0.8,0.03,0.086,0.152,0.595,0.122,2019
Quenton Jackson,WAS,24.0,195.58,78.471416,200,0,0,8,0,9,6.2,0.9,1.7,-6.7,0.0139999999999999,0.044,0.1639999999999999,0.542,0.155,2022
Smush Parker,CLE,22.0,193.04,81.64656,171,0,0,8,0,66,6.2,1.8,2.5,-9.6,0.0289999999999999,0.095,0.2019999999999999,0.523,0.239,2002
Chris Copeland,IND,31.0,203.2,106.59412,101,0,0,8,0,50,6.2,2.2,1.0,-3.9,0.031,0.118,0.212,0.4679999999999999,0.102,2014
Nickeil Alexander-Walker,MIN,24.0,195.58,92.98636,107,5,2019,1,17,59,6.2,1.7,1.8,-2.0,0.017,0.095,0.177,0.565,0.168,2022
Mike Scott,ATL,27.0,203.2,107.501304,22,0,2012,2,43,75,6.2,2.7,1.0,5.1,0.052,0.144,0.176,0.575,0.106,2015
Patty Mills,BKN,34.0,182.88,81.64656,321,47,2009,2,55,40,6.2,1.1,1.4,-5.8,0.0139999999999999,0.062,0.182,0.5539999999999999,0.136,2022
Payton Pritchard,BOS,24.0,185.42,88.45044,139,0,2020,1,26,71,6.2,1.9,2.0,2.2,0.031,0.093,0.18,0.578,0.222,2021
Ronald Dupree,CHI,23.0,200.66,94.800728,46,0,0,8,0,47,6.2,3.6,1.2,-6.6,0.062,0.14,0.183,0.445,0.103,2003
Langston Galloway,DET,26.0,187.96,90.7184,0,0,0,8,0,58,6.2,1.6,1.0,4.2,0.0139999999999999,0.089,0.188,0.503,0.105,2017
Nazr Mohammed,SAS,28.0,208.28,113.398,43,0,1998,1,29,80,6.2,5.2,0.5,6.5,0.142,0.2189999999999999,0.181,0.56,0.047,2005
